date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-02,sz.000002,32.8000,33.6000,32.5100,32.5600,32.1800,101213040,3342373870.6000,3,1.041800,1,1.180900,0
2020-01-03,sz.000002,32.7100,32.8100,31.7800,32.0500,32.5600,80553629,2584309903.2900,3,0.829200,1,-1.566300,0
2020-01-06,sz.000002,31.7500,31.7600,31.2500,31.5100,32.0500,87684058,2761448649.6100,3,0.902500,1,-1.684900,0
2020-01-07,sz.000002,31.6100,31.9300,31.3500,31.7600,31.5100,57793343,1827510871.9400,3,0.594900,1,0.793400,0
2020-01-08,sz.000002,31.3000,31.7700,31.0500,31.6800,31.7600,52999684,1667143803.0800,3,0.545500,1,-0.251900,0
2020-01-09,sz.000002,32.1500,32.4800,31.8500,32.2000,31.6800,78373446,2519927706.8200,3,0.806700,1,1.641400,0
2020-01-10,sz.000002,32.0000,32.2200,31.3500,31.4600,32.2000,55744373,1762516212.1000,3,0.573800,1,-2.298100,0
2020-01-13,sz.000002,31.4000,31.7800,31.2600,31.6800,31.4600,62074912,1957169612.1500,3,0.638900,1,0.699300,0
2020-01-14,sz.000002,31.5500,31.7900,31.3700,31.3900,31.6800,41971228,1322400772.1000,3,0.432000,1,-0.915400,0
2020-01-15,sz.000002,31.3000,31.4900,30.4600,30.4900,31.3900,67294431,2071443624.8900,3,0.692700,1,-2.867200,0
2020-01-16,sz.000002,30.6200,30.9300,30.4000,30.5300,30.4900,58139589,1779302393.9300,3,0.598400,1,0.131200,0
2020-01-17,sz.000002,30.6200,30.8500,30.3200,30.4600,30.5300,47221927,1442665863.0800,3,0.486100,1,-0.229300,0
2020-01-20,sz.000002,30.5000,30.5100,29.5200,29.8700,30.4600,91563767,2730988423.0200,3,0.942500,1,-1.937000,0
2020-01-21,sz.000002,29.5600,29.8600,29.0200,29.2100,29.8700,81796927,2399809082.5900,3,0.842000,1,-2.209600,0
2020-01-22,sz.000002,29.2000,30.3400,29.1800,30.1100,29.2100,93771024,2796437180.9500,3,0.965200,1,3.081100,0
2020-01-23,sz.000002,29.7000,29.7800,28.6800,28.9800,30.1100,98694879,2884502300.2800,3,1.015900,1,-3.752900,0
